epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.64026,0,134.41,0,0,0,0,0,0,61.6219,0,0.00027151,0.00027151,0.00027151
2,11.2181,0,118.19,0,0,0,0,0,0,62.15,0,0.000551793,0.000551793,0.000551793
3,16.685,0,103.329,0,0,0,0,0,0,58.075,0,0.000826416,0.000826416,0.000826416
4,22.0561,0,92.4451,0,0,0,0,0,0,58.4438,0,0.00109538,0.00109538,0.00109538
5,27.4303,0,83.1409,0,0,0,0,0,0,53.2437,0,0.00135869,0.00135869,0.00135869
6,32.8502,0,74.9203,0,0,0,0,0,0,57.9188,0,0.00135826,0.00135826,0.00135826
7,38.2903,0,69.1271,0,0,0,0,0,0,50.2812,0,0.00134412,0.00134412,0.00134412
8,43.6954,0,62.08,0,0,0,0,0,0,43.2344,0,0.00132997,0.00132997,0.00132997
9,49.1442,0,55.5922,0,0,0,0,0,0,31.8062,0,0.00131582,0.00131582,0.00131582
10,54.6444,0,49.2446,0,0,0,0,0,0,10.4141,0,0.00130168,0.00130168,0.00130168
11,60.1321,0,43.3336,0,0,0,0,0,0,1.7998,0,0.00128753,0.00128753,0.00128753
12,65.733,0,38.0193,0,0,0,0,0,0,0.11563,0,0.00127338,0.00127338,0.00127338
13,71.3401,0,33.0886,0,0,0,0,0,0,0.31816,0,0.00125923,0.00125923,0.00125923
14,76.878,0,28.6898,0,0,0,0,0,0,0.07812,0,0.00124509,0.00124509,0.00124509
15,82.4211,0,24.7486,0,0,0,0,0,0,0,0,0.00123094,0.00123094,0.00123094
16,87.8961,0,21.2526,0,0,0,0,0,0,0,0,0.00121679,0.00121679,0.00121679
